Volatility 3 Framework 2.28.0

Offset(Virtual)	Name	PID	pslist	psscan	thrdscan	csrss	Exit Time
0xd98df9d4e600	smartscreen.ex	8084	True	True	True	True	
0xd98df686a600	svchost.exe	1724	True	True	True	True	
0xd98df696a600	svchost.exe	1940	True	True	True	True	
0xd98df6c0a600	svchost.exe	2764	True	True	True	True	
0xd98df698e600	svchost.exe	1948	True	True	True	True	
0xd98df69b2600	svchost.exe	2036	True	True	True	True	
0xd98df6c12600	svchost.exe	2792	True	True	True	True	
0xd98df6d92600	dasHost.exe	2980	True	True	True	True	
0xd98df691a600	svchost.exe	1824	True	True	True	True	
0xd98df6abe600	spoolsv.exe	2364	True	True	True	True	
0xd98df70de600	svchost.exe	3888	True	True	True	True	
0xd98df8dd2600	svchost.exe	3828	False	True	True	False	
0xd98df8649340	SynTPEnh.exe	2192	True	True	True	True	
0xd98df6a94600	svchost.exe	2260	True	True	True	True	
0xd98df62f5600	sihost.exe	3752	True	True	True	True	
0xd98df3d56600	svchost.exe	3560	True	True	True	True	
0xd98df759c600	svchost.exe	7324	True	True	True	True	
0xd98df8f9c600	svchost.exe	7764	True	True	True	True	
0xd98df3d9c600	MpCmdRun.exe	5440	False	True	False	False	2018-06-21 06:45:51+00:00
0xd98df337d600	NisSrv.exe	5020	True	True	True	True	
0xd98df6c01600	svchost.exe	2756	True	True	True	True	
0xd98df6a2c380	svchost.exe	2068	True	True	True	True	
0xd98df7cbe380	SystemSettings	10084	True	True	True	True	
0xd98df4652080	ngen.exe	9756	True	True	True	True	
0xd98df91ce080	conhost.exe	1612	True	True	True	True	
0xd98df503a080	TrustedInstall	9160	True	True	True	False	
0xd98df98ae080	mscorsvw.exe	8292	False	True	True	False	2018-06-21 06:52:15+00:00
0xd98dfa30a080	svchost.exe	2372	False	True	False	False	2018-06-21 06:48:21+00:00
0xd98df5f05600	svchost.exe	8704	True	True	True	True	
0xd98df3a85600	backgroundTask	584	False	True	False	False	2018-06-21 06:46:59+00:00
0xd98df90d7200	mscorsvw.exe	4364	False	True	False	False	2018-06-21 06:47:23+00:00
0xd98df41a8600	ngen.exe	5684	True	True	True	True	
0xd98df64f3400	svchost.exe	9888	True	True	True	True	
0xd98df5cee600	svchost.exe	7944	True	True	True	True	
0xd98dfa4ee600	SynTPHelper.ex	7736	True	True	True	True	
0xd98df6bc7600	SynTPEnhServic	2672	True	True	True	True	
0xd98df5227600	svchost.exe	2872	True	True	True	True	
0xd98df59cb600	svchost.exe	2828	True	True	True	True	
0xd98df682f600	svchost.exe	1412	True	True	True	True	
0xd98df681b600	svchost.exe	1420	True	True	True	True	
0xd98df6bef600	svchost.exe	2712	True	True	True	True	
0xd98df6b53600	svchost.exe	2504	True	True	True	True	
0xd98df6bf7600	svchost.exe	2736	True	True	True	True	
0xd98df68bb600	svchost.exe	1644	True	True	True	True	
0xd98df6bdb600	svchost.exe	2696	True	True	True	True	
0xd98df8791600	svchost.exe	3156	True	True	True	True	
0xd98df95cf600	taskhostw.exe	6120	False	True	True	True	
0xd98df929e3c0	ngentask.exe	1336	True	True	True	True	
0xd98df3ab8600	CompatTelRunne	3672	True	True	True	True	
0xd98df7bd0080	ngentask.exe	6492	True	True	True	True	
0xd98df9a7a600	mscorsvw.exe	7268	False	True	False	False	2018-06-21 06:46:57+00:00
0xd98df3e5b600	svchost.exe	4660	True	True	True	True	
0xd98df6d1d600	svchost.exe	2464	True	True	True	True	
0xf8021f5fe600	ShellExperienc	7004	False	True	False	False	
0xd98df5c58080	WUDFHost.exe	9628	True	True	True	True	
0xd98df6aa1600	svchost.exe	2304	True	True	True	True	
