154.117.178.155	8443	BitCo	mx.co-props1018.co.za	BitCo	{'city': 'Johannesburg', 'region_code': 'GP', 'area_code': None, 'longitude': 28.04363, 'latitude': -26.20227, 'country_code': 'ZA', 'country_name': 'South Africa'}						
156.38.211.147	443	xneelo-tscolo	147.211.38.156.reverse.xneelo.net;unms.rapidaccess.co.za	Xneelo (Pty) Ltd	{'city': 'Johannesburg', 'region_code': 'GP', 'area_code': None, 'longitude': 28.04363, 'latitude': -26.20227, 'country_code': 'ZA', 'country_name': 'South Africa'}	nginx		-TLSv1;-SSLv2;-SSLv3;TLSv1.1;TLSv1.2;-TLSv1.3			
164.151.137.72	443	Government of South Africa	smc.gov.za;164.151.137.72.static.gov.za	State Information Technology Agency SOC Ltd	{'city': 'Johannesburg', 'region_code': 'GP', 'area_code': None, 'longitude': 28.04363, 'latitude': -26.20227, 'country_code': 'ZA', 'country_name': 'South Africa'}			-TLSv1;-SSLv2;-SSLv3;-TLSv1.1;TLSv1.2;TLSv1.3			
4.222.216.69	443	Microsoft Corporation	s51.iems5718.iecuhk.cc	Microsoft Corporation	{'city': 'Johannesburg', 'region_code': 'GP', 'area_code': None, 'longitude': 28.04363, 'latitude': -26.20227, 'country_code': 'ZA', 'country_name': 'South Africa'}	nginx		-TLSv1;-SSLv2;-SSLv3;-TLSv1.1;TLSv1.2;TLSv1.3			
169.255.118.43	8443	Emid	genric.co.za	IOCO Infrastructure Services (Pty) Ltd	{'city': 'Johannesburg', 'region_code': 'GP', 'area_code': None, 'longitude': 28.04363, 'latitude': -26.20227, 'country_code': 'ZA', 'country_name': 'South Africa'}						
197.234.28.238	443	ICTGlobe Management (Pty) Ltd	unms.ictglobe.com	ICTGlobe Management (Pty) Ltd	{'city': 'Middelburg', 'region_code': 'MP', 'area_code': None, 'longitude': 29.46482, 'latitude': -25.77507, 'country_code': 'ZA', 'country_name': 'South Africa'}			-TLSv1;-SSLv2;-SSLv3;-TLSv1.1;TLSv1.2;-TLSv1.3			
105.22.44.150	10443	SEACOM Limited	wilderness.co.za	SEACOM Limited	{'city': 'Johannesburg', 'region_code': 'GP', 'area_code': None, 'longitude': 28.04363, 'latitude': -26.20227, 'country_code': 'ZA', 'country_name': 'South Africa'}						
45.220.167.101	443	eNetworks cc	ctu.co.za	eNetworks cc	{'city': 'Johannesburg', 'region_code': 'GP', 'area_code': None, 'longitude': 28.04363, 'latitude': -26.20227, 'country_code': 'ZA', 'country_name': 'South Africa'}	nginx	1.25.5	-TLSv1;-SSLv2;-SSLv3;-TLSv1.1;TLSv1.2;TLSv1.3			
156.155.253.171	443	Axxess Networks	nebulacore.kukhanyaenergy.co.za	DIAMATRIX C.C	{'city': 'Johannesburg', 'region_code': 'GP', 'area_code': None, 'longitude': 28.04363, 'latitude': -26.20227, 'country_code': 'ZA', 'country_name': 'South Africa'}	nginx		-TLSv1;-SSLv2;-SSLv3;-TLSv1.1;TLSv1.2;TLSv1.3			
105.243.160.74	443	Vodacom Business (ENS)	vc-gp-n-105-243-160-74.umts.vodacom.co.za;214004366591.drayddns.com	Vodacom	{'city': 'Marble Hall', 'region_code': 'MP', 'area_code': None, 'longitude': 29.29068, 'latitude': -24.96627, 'country_code': 'ZA', 'country_name': 'South Africa'}	DrayTek Vigor Router		TLSv1;-SSLv2;-SSLv3;TLSv1.1;TLSv1.2;TLSv1.3			
41.189.92.98	443	ENSYNC - WEB - APPS	calulo-rohlig.co.za;www.eohcarrier.co.za;scanrf.co.za;eohinforservices.com;tla.managedpeoplesolutions.com;micloudsa.co.za;get-space.org;eoh-ns.co.za;www.csicubed.co.za;africainx.net;www.africainx.net;www.calulo-rohlig.co.za;www.micloud-sa.co.za;www.scanrf.co.za;micloud-sa.com;eohcarrier.co.za;www.eoh-ns.net;micloud-sa.net;www.siyanqoba.co.za;di-pas.co.za;www.hymax.co.za;www.micloudsa.net;siyanqoba.co.za;micloudsa.net;GP-ID-SVR-WEBSHR.eoh.co.za;www.csi3.co.za;micloud-sa.co.za;www.eoh-pas.co.za;csi-cubed.co.za;mx1-phpadmin.eoh-ns.co.za;mso.co.za;scanrf.com;micloudsa.com;www.softworx.co.za;www.energyinsight.co.za;www.csi-cubed.co.za;africainx.com;eoh-pas.co.za;www.scanrf.com;hymax.co.za;www.joat.co.za;cwaonline.co.za;softworx.co.za;digitalindustries.co.za;www.eohinforservices.com;managedpeoplesolutions.com;www.mso.co.za;www.managedpeoplesolutions.com;eoh-ns.net;www.di-pas.co.za;www.eoh-ns.co.za;www.micloudsa.co.za;africainx.co.za;www.micloud-sa.com;csicubed.co.za;www.micloudsa.com;www.digitalindustries.co.za;www.africainx.co.za;csi3.co.za;www.micloud-sa.net;www.get-space.org;joat.co.za;www.africainx.com;www.cwaonline.co.za;energyinsight.co.za;phpmyadmin.eoh-ns.co.za	Africa Independent Network Exchange (Pty) LTD (AfricaINX)	{'city': 'Johannesburg', 'region_code': 'GP', 'area_code': None, 'longitude': 28.04363, 'latitude': -26.20227, 'country_code': 'ZA', 'country_name': 'South Africa'}	Apache httpd		-TLSv1;-SSLv2;-SSLv3;-TLSv1.1;TLSv1.2;TLSv1.3			
41.74.181.53	443	Network Resources - Datacentre1 & 2	ess.fancourt.co.za;www.ess.fancourt.co.za	RSAWEB (PTY) LTD	{'city': 'Cape Town', 'region_code': 'WC', 'area_code': None, 'longitude': 18.42322, 'latitude': -33.92584, 'country_code': 'ZA', 'country_name': 'South Africa'}			TLSv1;-SSLv2;-SSLv3;TLSv1.1;TLSv1.2;-TLSv1.3			
