Volatility 3 Framework 2.28.0
  |                Last Write Time |    Hive Offset |      Type |                                                                                                                                                                           Key |                                                                          Name |                                               Data | Volatile
* | 2021-06-05 12:11:08.000000 UTC | 0xaa8bc100b000 |       Key |                                                                                                                                          \SystemRoot\System32\Config\SOFTWARE |                                                                       Partner |                                                N/A |    False
* | 2022-07-18 06:24:06.000000 UTC | 0xaa8bc100b000 |       Key |                                                                                                                                          \SystemRoot\System32\Config\SOFTWARE |                                                                      PassMark |                                                N/A |    False
* | 2021-06-05 12:13:58.000000 UTC | 0xaa8bc100b000 |       Key |                                                                                                                                          \SystemRoot\System32\Config\SOFTWARE |                                                                      Policies |                                                N/A |    False
* | 2022-07-18 23:11:57.000000 UTC | 0xaa8bc100b000 |       Key |                                                                                                                                          \SystemRoot\System32\Config\SOFTWARE |                                                        RegisteredApplications |                                                N/A |    False
* | 2022-07-18 23:09:59.000000 UTC | 0xaa8bc100b000 |       Key |                                                                                                                                          \SystemRoot\System32\Config\SOFTWARE |                                                                   WOW6432Node |                                                N/A |    False
* | 2022-07-18 23:09:59.000000 UTC | 0xaa8bc09b3000 |       Key |                                                                                                                                \Device\HarddiskVolume1\EFI\Microsoft\Boot\BCD |                                                                   Description |                                                N/A |    False
* | 2022-07-18 23:09:59.000000 UTC | 0xaa8bc09b3000 |       Key |                                                                                                                                \Device\HarddiskVolume1\EFI\Microsoft\Boot\BCD |                                                                       Objects |                                                N/A |    False
* | 2022-07-18 23:11:52.000000 UTC | 0xaa8bc0a10000 |       Key |                                                                                                                                           \SystemRoot\System32\Config\DEFAULT |                                                                       Console |                                                N/A |    False
* | 2021-06-05 13:09:25.000000 UTC | 0xaa8bc0a10000 |       Key |                                                                                                                                           \SystemRoot\System32\Config\DEFAULT |                                                                 Control Panel |                                                N/A |    False
* | 2021-06-05 12:11:04.000000 UTC | 0xaa8bc0a10000 |       Key |                                                                                                                                           \SystemRoot\System32\Config\DEFAULT |                                                                   Environment |                                                N/A |    False
* | 2021-06-05 12:11:04.000000 UTC | 0xaa8bc0a10000 |       Key |                                                                                                                                           \SystemRoot\System32\Config\DEFAULT |                                                                          EUDC |                                                N/A |    False
* | 2022-07-18 23:12:44.000000 UTC | 0xaa8bc0a10000 |       Key |                                                                                                                                           \SystemRoot\System32\Config\DEFAULT |                                                               Keyboard Layout |                                                N/A |    False
* | 2022-07-18 06:14:48.000000 UTC | 0xaa8bc0a10000 |       Key |                                                                                                                                           \SystemRoot\System32\Config\DEFAULT |                                                                      Printers |                                                N/A |    False
* | 2022-07-18 23:11:58.000000 UTC | 0xaa8bc0a10000 |       Key |                                                                                                                                           \SystemRoot\System32\Config\DEFAULT |                                                                      Software |                                                N/A |    False
* | 2022-07-18 23:12:28.000000 UTC | 0xaa8bc0a10000 |       Key |                                                                                                                                           \SystemRoot\System32\Config\DEFAULT |                                                                        System |                                                N/A |    False
* | 2022-07-18 23:12:20.000000 UTC | 0xaa8bc0aa4000 |       Key |                                                                                                                                          \SystemRoot\System32\Config\SECURITY |                                                                        Policy |                                                N/A |    False
* | 2022-07-18 23:10:00.000000 UTC | 0xaa8bc0aa4000 |       Key |                                                                                                                                          \SystemRoot\System32\Config\SECURITY |                                                                         RXACT |                                                N/A |    False
* | 2022-07-18 23:09:59.000000 UTC | 0xaa8bc0aa4000 |       Key |                                                                                                                                          \SystemRoot\System32\Config\SECURITY |                                                                           SAM |                                                N/A |     True
* | 2022-07-18 23:11:45.000000 UTC | 0xaa8bc0b8e000 |       Key |                                                                                                                                               \SystemRoot\System32\Config\SAM |                                                                           SAM |                                                N/A |    False
* | 2022-07-18 23:11:45.000000 UTC | 0xaa8bc0c56000 |       Key |                                                                                                                      \??\C:\Windows\ServiceProfiles\NetworkService\NTUSER.DAT |                                                                     AppEvents |                                                N/A |    False
* | 2022-07-18 23:11:45.000000 UTC | 0xaa8bc0c56000 |       Key |                                                                                                                      \??\C:\Windows\ServiceProfiles\NetworkService\NTUSER.DAT |                                                                       Console |                                                N/A |    False
* | 2022-07-18 23:11:45.000000 UTC | 0xaa8bc0c56000 |       Key |                                                                                                                      \??\C:\Windows\ServiceProfiles\NetworkService\NTUSER.DAT |                                                                 Control Panel |                                                N/A |    False
* | 2022-07-18 23:11:45.000000 UTC | 0xaa8bc0c56000 |       Key |                                                                                                                      \??\C:\Windows\ServiceProfiles\NetworkService\NTUSER.DAT |                                                                   Environment |                                                N/A |    False
* | 2022-07-18 23:11:45.000000 UTC | 0xaa8bc0c56000 |       Key |                                                                                                                      \??\C:\Windows\ServiceProfiles\NetworkService\NTUSER.DAT |                                                                          EUDC |                                                N/A |    False
* | 2022-07-18 23:11:45.000000 UTC | 0xaa8bc0c56000 |       Key |                                                                                                                      \??\C:\Windows\ServiceProfiles\NetworkService\NTUSER.DAT |                                                                       Network |                                                N/A |    False
* | 2022-07-18 23:11:45.000000 UTC | 0xaa8bc0c56000 |       Key |                                                                                                                      \??\C:\Windows\ServiceProfiles\NetworkService\NTUSER.DAT |                                                                      Software |                                                N/A |    False
* | 2022-07-18 23:11:45.000000 UTC | 0xaa8bc0c56000 |       Key |                                                                                                                      \??\C:\Windows\ServiceProfiles\NetworkService\NTUSER.DAT |                                                                        System |                                                N/A |    False
* | 2022-07-18 23:11:40.000000 UTC | 0xaa8bc0dd2000 |       Key |                                                                                                                                               \SystemRoot\System32\Config\BBI |                                                                        Events |                                                N/A |    False
* | 2022-07-18 23:11:40.000000 UTC | 0xaa8bc0dd2000 |       Key |                                                                                                                                               \SystemRoot\System32\Config\BBI |                                                                     WorkItems |                                                N/A |    False
* | 2022-07-18 23:11:52.000000 UTC | 0xaa8bc0dd2000 | REG_DWORD |                                                                                                                                               \SystemRoot\System32\Config\BBI |                                                                       Version |                                                  2 |    False
* | 2022-07-18 23:11:52.000000 UTC | 0xaa8bc0dd2000 | REG_DWORD |                                                                                                                                               \SystemRoot\System32\Config\BBI |                                                                  MinorVersion |                                                  2 |    False
* | 2022-07-18 23:11:45.000000 UTC | 0xaa8bc0ddf000 |       Key |                                                                                                                        \??\C:\Windows\ServiceProfiles\LocalService\NTUSER.DAT |                                                                     AppEvents |                                                N/A |    False
* | 2022-07-18 23:11:45.000000 UTC | 0xaa8bc0ddf000 |       Key |                                                                                                                        \??\C:\Windows\ServiceProfiles\LocalService\NTUSER.DAT |                                                                       Console |                                                N/A |    False
* | 2022-07-18 23:11:45.000000 UTC | 0xaa8bc0ddf000 |       Key |                                                                                                                        \??\C:\Windows\ServiceProfiles\LocalService\NTUSER.DAT |                                                                 Control Panel |                                                N/A |    False
* | 2022-07-18 23:11:45.000000 UTC | 0xaa8bc0ddf000 |       Key |                                                                                                                        \??\C:\Windows\ServiceProfiles\LocalService\NTUSER.DAT |                                                                   Environment |                                                N/A |    False
* | 2022-07-18 23:11:45.000000 UTC | 0xaa8bc0ddf000 |       Key |                                                                                                                        \??\C:\Windows\ServiceProfiles\LocalService\NTUSER.DAT |                                                                          EUDC |                                                N/A |    False
* | 2022-07-18 06:14:28.000000 UTC | 0xaa8bc0ddf000 |       Key |                                                                                                                        \??\C:\Windows\ServiceProfiles\LocalService\NTUSER.DAT |                                                               Keyboard Layout |                                                N/A |    False
* | 2022-07-18 23:11:45.000000 UTC | 0xaa8bc0ddf000 |       Key |                                                                                                                        \??\C:\Windows\ServiceProfiles\LocalService\NTUSER.DAT |                                                                       Network |                                                N/A |    False
* | 2022-07-18 23:11:45.000000 UTC | 0xaa8bc0ddf000 |       Key |                                                                                                                        \??\C:\Windows\ServiceProfiles\LocalService\NTUSER.DAT |                                                                      Software |                                                N/A |    False
* | 2022-07-18 23:11:45.000000 UTC | 0xaa8bc0ddf000 |       Key |                                                                                                                        \??\C:\Windows\ServiceProfiles\LocalService\NTUSER.DAT |                                                                        System |                                                N/A |    False
* | 2022-07-18 06:19:00.000000 UTC | 0xaa8bc2286000 |       Key |                                                                                                                                                 \??\C:\Users\passb\ntuser.dat |                                                                     AppEvents |                                                N/A |    False
* | 2022-07-18 06:19:00.000000 UTC | 0xaa8bc2286000 |       Key |                                                                                                                                                 \??\C:\Users\passb\ntuser.dat |                                                                       Console |                                                N/A |    False
* | 2022-07-18 06:21:55.000000 UTC | 0xaa8bc2286000 |       Key |                                                                                                                                                 \??\C:\Users\passb\ntuser.dat |                                                                 Control Panel |                                                N/A |    False
* | 2022-07-18 06:22:37.000000 UTC | 0xaa8bc2286000 |       Key |                                                                                                                                                 \??\C:\Users\passb\ntuser.dat |                                                                   Environment |                                                N/A |    False
* | 2022-07-18 06:19:00.000000 UTC | 0xaa8bc2286000 |       Key |                                                                                                                                                 \??\C:\Users\passb\ntuser.dat |                                                                          EUDC |                                                N/A |    False
* | 2022-07-18 06:19:00.000000 UTC | 0xaa8bc2286000 |       Key |                                                                                                                                                 \??\C:\Users\passb\ntuser.dat |                                                               Keyboard Layout |                                                N/A |    False
* | 2022-07-18 06:19:00.000000 UTC | 0xaa8bc2286000 |       Key |                                                                                                                                                 \??\C:\Users\passb\ntuser.dat |                                                                       Network |                                                N/A |    False
* | 2022-07-18 06:21:55.000000 UTC | 0xaa8bc2286000 |       Key |                                                                                                                                                 \??\C:\Users\passb\ntuser.dat |                                                                      Printers |                                                N/A |    False
* | 2022-07-18 23:10:00.000000 UTC | 0xaa8bc2286000 |       Key |                                                                                                                                                 \??\C:\Users\passb\ntuser.dat |                                                                      Software |                                                N/A |    False
* | 2022-07-18 06:20:47.000000 UTC | 0xaa8bc2286000 |       Key |                                                                                                                                                 \??\C:\Users\passb\ntuser.dat |                                                                        System |                                                N/A |    False
* | 2022-07-18 23:10:01.000000 UTC | 0xaa8bc2286000 |       Key |                                                                                                                                                 \??\C:\Users\passb\ntuser.dat |                                                          Volatile Environment |                                                N/A |     True
* | 2022-07-18 06:22:22.000000 UTC | 0xaa8bc19ae000 |       Key |                                                                                                               \??\C:\Users\passb\AppData\Local\Microsoft\Windows\UsrClass.dat |                                                                             * |                                                N/A |    False
* | 2022-07-18 06:20:52.000000 UTC | 0xaa8bc19ae000 |       Key |                                                                                                               \??\C:\Users\passb\AppData\Local\Microsoft\Windows\UsrClass.dat |                                                                          .3fr |                                                N/A |    False
* | 2022-07-18 06:20:52.000000 UTC | 0xaa8bc19ae000 |       Key |                                                                                                               \??\C:\Users\passb\AppData\Local\Microsoft\Windows\UsrClass.dat |                                                                          .3g2 |                                                N/A |    False
* | 2022-07-18 06:20:52.000000 UTC | 0xaa8bc19ae000 |       Key |                                                                                                               \??\C:\Users\passb\AppData\Local\Microsoft\Windows\UsrClass.dat |                                                                          .3gp |                                                N/A |    False
* | 2022-07-18 06:20:52.000000 UTC | 0xaa8bc19ae000 |       Key |                                                                                                               \??\C:\Users\passb\AppData\Local\Microsoft\Windows\UsrClass.dat |                                                                         .3gp2 |                                                N/A |    False
* | 2022-07-18 06:20:52.000000 UTC | 0xaa8bc19ae000 |       Key |                                                                                                               \??\C:\Users\passb\AppData\Local\Microsoft\Windows\UsrClass.dat |                                                                         .3gpp |                                                N/A |    False
* | 2022-07-18 23:31:04.000000 UTC | 0xaa8bc19ae000 |       Key |                                                                                                               \??\C:\Users\passb\AppData\Local\Microsoft\Windows\UsrClass.dat |                                                                          .aac |                                                N/A |    False
* | 2022-07-18 23:31:04.000000 UTC | 0xaa8bc19ae000 |       Key |                                                                                                               \??\C:\Users\passb\AppData\Local\Microsoft\Windows\UsrClass.dat |                                                                          .ac3 |                                                N/A |    False
* | 2022-07-18 23:31:04.000000 UTC | 0xaa8bc19ae000 |       Key |                                                                                                               \??\C:\Users\passb\AppData\Local\Microsoft\Windows\UsrClass.dat |                                                                          .adt |                                                N/A |    False
* | 2022-07-18 23:31:04.000000 UTC | 0xaa8bc19ae000 |       Key |                                                                                                               \??\C:\Users\passb\AppData\Local\Microsoft\Windows\UsrClass.dat |                                                                         .adts |                                                N/A |    False
* | 2022-07-18 23:31:09.000000 UTC | 0xaa8bc19ae000 |       Key |                                                                                                               \??\C:\Users\passb\AppData\Local\Microsoft\Windows\UsrClass.dat |                                                                          .all |                                                N/A |    False
* | 2022-07-18 23:31:04.000000 UTC | 0xaa8bc19ae000 |       Key |                                                                                                               \??\C:\Users\passb\AppData\Local\Microsoft\Windows\UsrClass.dat |                                                                          .amr |                                                N/A |    False
* | 2022-07-18 23:31:13.000000 UTC | 0xaa8bc19ae000 |       Key |                                                                                                               \??\C:\Users\passb\AppData\Local\Microsoft\Windows\UsrClass.dat |                                                                 .appinstaller |                                                N/A |    False
* | 2022-07-18 23:31:13.000000 UTC | 0xaa8bc19ae000 |       Key |                                                                                                               \??\C:\Users\passb\AppData\Local\Microsoft\Windows\UsrClass.dat |                                                                         .appx |                                                N/A |    False
* | 2022-07-18 23:31:13.000000 UTC | 0xaa8bc19ae000 |       Key |                                                                                                               \??\C:\Users\passb\AppData\Local\Microsoft\Windows\UsrClass.dat |                                                                   .appxbundle |                                                N/A |    False
* | 2022-07-18 06:20:52.000000 UTC | 0xaa8bc19ae000 |       Key |                                                                                                               \??\C:\Users\passb\AppData\Local\Microsoft\Windows\UsrClass.dat |                                                                          .ari |                                                N/A |    False
* | 2022-07-18 06:20:51.000000 UTC | 0xaa8bc19ae000 |       Key |                                                                                                               \??\C:\Users\passb\AppData\Local\Microsoft\Windows\UsrClass.dat |                                                                          .arw |                                                N/A |    False
* | 2022-07-18 06:20:52.000000 UTC | 0xaa8bc19ae000 |       Key |                                                                                                               \??\C:\Users\passb\AppData\Local\Microsoft\Windows\UsrClass.dat |                                                                          .asf |                                                N/A |    False
